PLAYERID,FIRSTNAME,LASTNAME,PLAYERNAME,TEAMID,TEAMCITY,TEAMNAME,TEAMABBREVIATION,AVGSHOTQUALITY,AVGMADESHOTQUALITY,AVGMISSEDSHOTQUALITY,MINSHOTQUALITYONMAKE,AVGSHOTQUALITY2PT,AVGMADESHOTQUALITY2PT,AVGMISSEDSHOTQUALITY2PT,AVGSHOTQUALITY3PT,AVGMADESHOTQUALITY3PT,AVGMISSEDSHOTQUALITY3PT,FG2M,FG2M_RANK,FG2A,FG2A_RANK,FG3M,FG3M_RANK,FG3A,FG3A_RANK,FGM,FGM_RANK,FGA,FGA_RANK,FGPCT,FGPCTABOVEEXPECTED,FG3PCT,FG3PCTABOVEEXPECTED,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGSHOTQUALITY_RANK,AVGMADESHOTQUALITY_RANK,AVGMISSEDSHOTQUALITY_RANK,MINSHOTQUALITYONMAKE_RANK,AVGSHOTQUALITY2PT_RANK,AVGMADESHOTQUALITY2PT_RANK,AVGMISSEDSHOTQUALITY2PT_RANK,AVGSHOTQUALITY3PT_RANK,AVGMADESHOTQUALITY3PT_RANK,AVGMISSEDSHOTQUALITY3PT_RANK,FGPCT_RANK,FGPCTABOVEEXPECTED_RANK,FG3PCT_RANK,FG3PCTABOVEEXPECTED_RANK,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
1641708,Amen,Thompson,Amen Thompson,1610612745,Houston,Rockets,HOU,0.587,0.687,0.464,0.185,0.611,0.701,0.48,0.399,0.4,0.398,532,7,928,7,25,113,116,113,557,20,1044,35,0.534,-0.053,0.216,-0.183,81.452,45.1,6.182,0.0,0.814,9,7,5,113,12,10,11,2,4,2,16,124,118,118,115,8,11,1,86
1642270,Donovan,Clingan,Donovan Clingan,1610612757,Portland,Trail Blazers,POR,0.548,0.644,0.441,0.13,0.652,0.733,0.513,0.371,0.369,0.372,272,93,438,93,84,92,246,89,356,86,684,102,0.52,-0.028,0.341,-0.03,84.573,46.9,2.933,0.0,0.813,13,11,14,87,3,3,1,38,60,27,21,118,82,89,89,4,125,1,87
201939,Stephen,Curry,Stephen Curry,1610612744,Golden State,Warriors,GSW,0.394,0.442,0.351,0.109,0.503,0.555,0.427,0.324,0.333,0.318,184,118,315,118,190,23,484,26,374,79,799,75,0.468,0.074,0.393,0.069,79.887,30.4,4.672,0.0,0.813,123,119,124,72,94,98,93,123,119,123,75,5,24,6,121,113,72,1,88
203501,Tim,Hardaway Jr.,Tim Hardaway Jr.,1610612743,Denver,Nuggets,DEN,0.404,0.442,0.373,0.192,0.512,0.568,0.443,0.36,0.371,0.351,124,122,229,122,224,9,550,16,348,89,779,78,0.447,0.043,0.407,0.047,87.158,38.0,3.133,0.0,0.813,118,118,117,115,86,91,55,66,45,86,102,20,13,15,53,54,121,1,89
1628969,Mikal,Bridges,Mikal Bridges,1610612752,New York,Knicks,NYK,0.484,0.554,0.417,0.089,0.576,0.645,0.478,0.367,0.37,0.365,316,55,543,55,156,38,420,38,472,42,963,45,0.49,0.006,0.371,0.004,87.643,41.0,5.149,0.0,0.809,40,43,39,60,26,29,13,48,53,45,45,79,46,58,41,28,46,1,90
1628404,Josh,Hart,Josh Hart,1610612752,New York,Knicks,NYK,0.479,0.539,0.414,0.133,0.542,0.613,0.442,0.387,0.392,0.384,201,111,350,111,100,83,242,94,301,123,592,120,0.508,0.029,0.413,0.026,86.636,46.0,5.328,0.0,0.808,48,55,44,88,46,55,58,10,8,10,33,39,8,37,59,7,37,1,91
1630180,Saddiq,Bey,Saddiq Bey,1610612740,New Orleans,Pelicans,NOP,0.441,0.505,0.386,0.077,0.497,0.576,0.408,0.368,0.372,0.365,285,51,555,51,151,41,412,40,436,52,967,44,0.451,0.01,0.367,-0.001,83.863,37.8,5.511,0.0,0.807,84,80,93,51,98,84,116,44,40,46,97,73,55,62,99,56,30,1,92
1629656,Quentin,Grimes,Quentin Grimes,1610612755,Philadelphia,76ers,PHI,0.473,0.56,0.401,0.037,0.579,0.668,0.461,0.368,0.378,0.363,213,106,375,106,127,58,380,50,340,95,755,83,0.45,-0.023,0.334,-0.034,86.258,39.7,5.761,0.0,0.807,54,40,62,24,20,20,27,43,28,49,99,114,87,94,66,40,20,1,93
1642267,Bub,Carrington,Bub Carrington,1610612764,Washington,Wizards,WAS,0.406,0.424,0.392,0.232,0.46,0.491,0.435,0.363,0.367,0.361,145,116,327,116,169,32,414,39,314,116,741,90,0.424,0.018,0.408,0.045,87.357,40.0,3.547,0.0,0.807,117,125,77,122,123,124,75,56,61,56,120,55,12,18,44,35,113,1,94
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,1610612737,Atlanta,Hawks,ATL,0.428,0.483,0.38,0.034,0.51,0.585,0.422,0.357,0.365,0.351,297,47,566,47,251,4,629,6,548,22,1195,17,0.459,0.031,0.399,0.042,86.082,39.7,4.832,0.0,0.806,99,97,105,20,89,77,99,80,68,87,87,37,19,21,68,38,60,1,95
1641706,Brandon,Miller,Brandon Miller,1610612766,Charlotte,Hornets,CHA,0.434,0.49,0.389,0.145,0.519,0.601,0.436,0.354,0.357,0.353,250,64,511,64,204,19,533,18,454,45,1044,35,0.435,0.001,0.383,0.029,83.668,44.1,4.371,0.0,0.805,92,92,86,91,76,65,73,90,100,79,113,88,32,33,101,11,80,1,96
1630163,LaMelo,Ball,LaMelo Ball,1610612766,Charlotte,Hornets,CHA,0.393,0.428,0.368,0.073,0.472,0.524,0.424,0.34,0.346,0.337,234,66,504,66,272,2,740,1,506,31,1244,11,0.407,0.014,0.368,0.028,80.56,40.0,5.033,0.0,0.805,124,123,120,47,117,115,96,117,112,117,123,64,52,36,118,34,52,1,97
201566,Russell,Westbrook,Russell Westbrook,1610612758,Sacramento,Kings,SAC,0.458,0.515,0.415,0.09,0.527,0.591,0.459,0.378,0.381,0.377,230,86,460,86,128,57,379,51,358,85,839,64,0.427,-0.031,0.338,-0.04,79.289,42.9,5.392,0.0,0.804,70,72,42,62,66,72,29,18,23,17,119,120,84,97,122,17,34,1,98
1631108,Max,Christie,Max Christie,1610612742,Dallas,Mavericks,DAL,0.424,0.478,0.382,0.185,0.53,0.619,0.439,0.359,0.369,0.353,140,120,279,120,180,26,446,31,320,111,725,93,0.441,0.017,0.404,0.045,90.417,34.3,4.034,0.0,0.803,105,98,102,113,58,50,67,67,56,81,108,57,16,19,10,89,96,1,99
1629675,Naz,Reid,Naz Reid,1610612750,Minnesota,Timberwolves,MIN,0.427,0.475,0.384,0.058,0.496,0.551,0.422,0.364,0.369,0.362,235,99,423,99,162,35,448,30,397,66,871,57,0.456,0.029,0.362,-0.002,86.0,41.5,4.199,0.0,0.803,102,101,99,34,100,103,100,52,57,52,89,40,64,63,71,24,86,1,100
1642281,Jaylon,Tyson,Jaylon Tyson,1610612739,Cleveland,Cavaliers,CLE,0.481,0.534,0.426,0.169,0.577,0.643,0.492,0.366,0.371,0.362,197,108,372,108,133,53,298,72,330,104,670,105,0.493,0.012,0.446,0.08,82.359,40.5,4.882,0.0,0.801,44,59,21,110,25,30,7,49,48,51,40,69,2,2,109,29,58,1,101
1630178,Tyrese,Maxey,Tyrese Maxey,1610612755,Philadelphia,76ers,PHI,0.431,0.49,0.378,0.037,0.485,0.551,0.408,0.351,0.361,0.346,474,9,902,9,220,11,599,8,694,4,1501,2,0.462,0.031,0.367,0.016,81.546,38.7,7.192,0.0,0.801,97,93,110,24,108,102,118,98,81,102,81,34,55,46,114,48,5,1,102
1628384,OG,Anunoby,OG Anunoby,1610612752,New York,Knicks,NYK,0.488,0.592,0.388,0.029,0.619,0.74,0.436,0.364,0.372,0.359,232,103,397,103,157,37,407,43,389,74,804,73,0.484,-0.004,0.386,0.022,86.938,39.4,4.291,0.0,0.801,37,25,87,17,9,2,70,54,41,62,53,95,29,41,55,41,85,1,103
1628976,Wendell,Carter Jr.,Wendell Carter Jr.,1610612753,Orlando,Magic,ORL,0.516,0.599,0.427,0.113,0.587,0.656,0.469,0.39,0.396,0.387,254,102,411,102,72,100,226,99,326,107,637,113,0.512,-0.004,0.319,-0.071,84.107,47.1,3.166,0.0,0.8,21,20,20,76,18,26,19,6,6,6,30,94,101,111,95,3,120,1,104
1642851,Kon,Knueppel,Kon Knueppel,1610612766,Charlotte,Hornets,CHA,0.424,0.473,0.379,0.106,0.53,0.598,0.445,0.352,0.364,0.344,242,91,442,91,273,1,642,4,515,29,1084,30,0.475,0.051,0.425,0.073,84.467,36.8,4.688,0.0,0.8,106,104,107,70,56,67,44,96,73,107,66,13,6,4,90,63,70,1,105
1629614,Andrew,Nembhard,Andrew Nembhard,1610612754,Indiana,Pacers,IND,0.444,0.504,0.395,0.098,0.504,0.573,0.433,0.354,0.361,0.35,226,87,457,87,107,77,296,74,333,100,753,85,0.442,-0.002,0.361,0.007,81.36,40.1,4.438,0.0,0.8,80,83,69,65,93,87,78,91,80,92,106,92,66,56,116,32,77,1,106
1630168,Onyeka,Okongwu,Onyeka Okongwu,1610612737,Atlanta,Hawks,ATL,0.47,0.536,0.407,0.162,0.544,0.617,0.443,0.38,0.385,0.377,269,79,477,79,144,44,383,49,413,59,860,60,0.48,0.01,0.376,-0.004,83.727,43.0,4.126,0.0,0.799,56,57,49,104,42,53,56,16,15,16,60,74,41,65,100,16,91,1,107
1642377,Jaylen,Wells,Jaylen Wells,1610612763,Memphis,Grizzlies,MEM,0.439,0.499,0.391,0.196,0.519,0.599,0.429,0.369,0.371,0.368,172,115,333,115,129,56,365,55,301,123,698,97,0.431,-0.008,0.353,-0.016,84.065,39.9,3.604,0.0,0.798,88,87,78,116,77,66,85,40,46,39,117,99,72,77,97,36,108,1,108
1630530,Trey,Murphy III,Trey Murphy III,1610612740,New Orleans,Pelicans,NOP,0.449,0.533,0.373,0.086,0.578,0.674,0.44,0.343,0.353,0.336,280,74,485,74,214,15,565,13,494,35,1050,33,0.47,0.021,0.379,0.036,81.573,39.3,4.78,0.0,0.798,74,60,118,57,22,18,64,114,104,118,72,54,37,25,113,42,64,1,109
1642846,Ace,Bailey,Ace Bailey,1610612762,Utah,Jazz,UTA,0.463,0.54,0.401,0.204,0.542,0.633,0.443,0.367,0.372,0.365,258,68,494,68,137,47,398,46,395,67,892,54,0.443,-0.02,0.344,-0.023,82.827,43.8,3.737,0.0,0.797,62,54,61,118,45,37,57,45,43,47,104,109,78,83,105,13,103,1,110
1641710,Anthony,Black,Anthony Black,1610612753,Orlando,Magic,ORL,0.473,0.57,0.391,0.077,0.531,0.646,0.401,0.383,0.387,0.381,245,81,472,81,100,83,300,71,345,90,772,81,0.447,-0.026,0.333,-0.05,82.629,44.1,5.58,0.0,0.796,55,34,79,51,55,28,122,13,13,13,102,116,88,101,106,10,26,1,111
202696,Nikola,Vučević,Nikola Vučević,1610612738,Boston,Celtics,BOS,0.477,0.53,0.425,0.182,0.53,0.579,0.465,0.377,0.383,0.374,294,60,528,60,100,83,271,86,394,68,799,75,0.493,0.016,0.369,-0.008,81.667,41.6,4.129,0.0,0.796,50,63,22,111,59,83,23,21,19,21,40,60,50,73,111,23,90,1,112
1629636,Darius,Garland,Darius Garland,1610612746,LA,Clippers,LAC,0.426,0.473,0.386,0.151,0.488,0.546,0.425,0.355,0.363,0.35,187,110,364,110,122,64,308,67,309,117,672,103,0.46,0.034,0.396,0.041,80.313,43.7,5.618,0.0,0.796,103,106,94,94,107,105,95,87,77,91,84,31,21,22,120,15,24,1,113
1629130,Duncan,Robinson,Duncan Robinson,1610612765,Detroit,Pistons,DET,0.392,0.435,0.356,0.21,0.537,0.617,0.412,0.351,0.359,0.346,98,125,162,125,220,11,536,17,318,113,698,97,0.456,0.064,0.41,0.059,85.45,38.0,3.289,0.0,0.794,125,122,123,120,54,52,113,99,92,100,89,6,11,8,77,53,116,1,114
1630577,Julian,Champagnie,Julian Champagnie,1610612759,San Antonio,Spurs,SAS,0.424,0.486,0.374,0.184,0.607,0.701,0.459,0.361,0.37,0.356,106,124,177,124,195,20,512,21,301,123,689,100,0.437,0.013,0.381,0.02,87.335,39.8,3.445,0.0,0.794,107,96,114,112,14,11,28,62,51,69,111,66,34,44,45,37,114,1,115
