PLAYERID,PLAYERNAME,TEAMID,TEAMABBREVIATION,FGM,FGA,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
201939,Stephen Curry,1610612744,GSW,374,799,79.887,30.4,4.672,0.0,0.813,121,113,72,1,88
203501,Tim Hardaway Jr.,1610612743,DEN,348,779,87.158,38.0,3.133,0.0,0.813,53,54,121,1,89
1628969,Mikal Bridges,1610612752,NYK,472,963,87.643,41.0,5.149,0.0,0.809,41,28,46,1,90
1628404,Josh Hart,1610612752,NYK,301,592,86.636,46.0,5.328,0.0,0.808,59,7,37,1,91
1630180,Saddiq Bey,1610612740,NOP,436,967,83.863,37.8,5.511,0.0,0.807,99,56,30,1,92
1629656,Quentin Grimes,1610612755,PHI,340,755,86.258,39.7,5.761,0.0,0.807,66,40,20,1,93
1642267,Bub Carrington,1610612764,WAS,314,741,87.357,40.0,3.547,0.0,0.807,44,35,113,1,94
1629638,Nickeil Alexander-Walker,1610612737,ATL,548,1195,86.082,39.7,4.832,0.0,0.806,68,38,60,1,95
1641706,Brandon Miller,1610612766,CHA,454,1044,83.668,44.1,4.371,0.0,0.805,101,11,80,1,96
1630163,LaMelo Ball,1610612766,CHA,506,1244,80.56,40.0,5.033,0.0,0.805,118,34,52,1,97
201566,Russell Westbrook,1610612758,SAC,358,839,79.289,42.9,5.392,0.0,0.804,122,17,34,1,98
1631108,Max Christie,1610612742,DAL,320,725,90.417,34.3,4.034,0.0,0.803,10,89,96,1,99
1629675,Naz Reid,1610612750,MIN,397,871,86.0,41.5,4.199,0.0,0.803,71,24,86,1,100
1642281,Jaylon Tyson,1610612739,CLE,330,670,82.359,40.5,4.882,0.0,0.801,109,29,58,1,101
1630178,Tyrese Maxey,1610612755,PHI,694,1501,81.546,38.7,7.192,0.0,0.801,114,48,5,1,102
1628384,OG Anunoby,1610612752,NYK,389,804,86.938,39.4,4.291,0.0,0.801,55,41,85,1,103
1628976,Wendell Carter Jr.,1610612753,ORL,326,637,84.107,47.1,3.166,0.0,0.8,95,3,120,1,104
1642851,Kon Knueppel,1610612766,CHA,515,1084,84.467,36.8,4.688,0.0,0.8,90,63,70,1,105
1629614,Andrew Nembhard,1610612754,IND,333,753,81.36,40.1,4.438,0.0,0.8,116,32,77,1,106
1630168,Onyeka Okongwu,1610612737,ATL,413,860,83.727,43.0,4.126,0.0,0.799,100,16,91,1,107
1642377,Jaylen Wells,1610612763,MEM,301,698,84.065,39.9,3.604,0.0,0.798,97,36,108,1,108
1630530,Trey Murphy III,1610612740,NOP,494,1050,81.573,39.3,4.78,0.0,0.798,113,42,64,1,109
1642846,Ace Bailey,1610612762,UTA,395,892,82.827,43.8,3.737,0.0,0.797,105,13,103,1,110
1641710,Anthony Black,1610612753,ORL,345,772,82.629,44.1,5.58,0.0,0.796,106,10,26,1,111
202696,Nikola Vučević,1610612738,BOS,394,799,81.667,41.6,4.129,0.0,0.796,111,23,90,1,112
1629636,Darius Garland,1610612746,LAC,309,672,80.313,43.7,5.618,0.0,0.796,120,15,24,1,113
1629130,Duncan Robinson,1610612765,DET,318,698,85.45,38.0,3.289,0.0,0.794,77,53,116,1,114
1630577,Julian Champagnie,1610612759,SAS,301,689,87.335,39.8,3.445,0.0,0.794,45,37,114,1,115
1630245,Ayo Dosunmu,1610612750,MIN,386,747,84.362,40.0,7.408,0.0,0.791,92,33,4,1,116
1630202,Payton Pritchard,1610612738,BOS,506,1091,84.836,33.3,3.69,0.0,0.791,86,95,106,1,117
1629060,Rui Hachimura,1610612747,LAL,307,597,88.556,38.3,3.038,0.0,0.788,28,51,123,1,118
1641764,Brandin Podziemski,1610612744,GSW,394,866,75.111,43.9,5.565,0.0,0.785,125,12,27,1,119
1642263,Reed Sheppard,1610612745,HOU,407,946,80.938,45.1,4.722,0.0,0.783,117,9,66,1,120
1628978,Donte DiVincenzo,1610612750,MIN,339,835,80.425,42.8,3.563,0.0,0.775,119,18,110,1,121
1641739,Toumani Camara,1610612757,POR,392,891,87.268,42.4,3.708,0.0,0.772,48,20,104,1,122
1630572,Sandro Mamukelashvili,1610612761,TOR,330,631,84.153,50.1,4.782,0.0,0.772,94,1,63,1,123
1631221,Collin Gillespie,1610612756,PHX,352,842,77.065,46.0,3.978,0.0,0.769,124,6,98,1,124
1630193,Immanuel Quickley,1610612761,TOR,401,905,77.712,42.7,5.16,0.0,0.768,123,19,45,1,125
